customer_id,plan_type,industry_vertical,region,acquisition_channel,contract_type,tenure_months,monthly_revenue,annual_revenue,support_tickets_last_90d,nps_score,login_frequency_per_month,cac_inr,signup_date,churn_date,churned,arr_loss_inr
RIQ-00001,Basic,Healthcare,Hyderabad,Social Media,Annual,2,820.0,9840.0,1.0,50.0,10,2800.0,2022-01-26,2022-04-04,1,9840.0
RIQ-00002,Enterprise,Healthcare,Mumbai,Organic Search,Annual,6,8380.0,100560.0,0.0,27.0,25,21200.0,2023-07-13,,0,0.0
RIQ-00003,Basic,E-commerce,Delhi,Social Media,Monthly,13,610.0,7320.0,1.0,35.0,6,2100.0,2023-06-02,2024-06-30,1,7320.0
RIQ-00004,Basic,Healthcare,Chennai,Email Campaign,Monthly,3,770.0,9240.0,0.0,34.0,13,3800.0,2022-08-14,2022-11-11,1,9240.0
RIQ-00005,Basic,Healthcare,Delhi,Referral,Monthly,3,900.0,10800.0,2.0,58.0,6,2800.0,2023-03-09,2023-06-02,1,10800.0
RIQ-00006,Basic,Edtech,Delhi,Paid Search,Annual,15,550.0,6600.0,1.0,24.0,6,3100.0,2023-01-25,2024-04-07,1,6600.0
RIQ-00007,Enterprise,Fintech,Mumbai,Organic Search,Annual,48,5220.0,62640.0,3.0,59.0,20,35100.0,2023-04-16,,0,0.0
RIQ-00008,Basic,E-commerce,Delhi,Paid Search,Monthly,11,780.0,9360.0,3.0,62.0,9,4700.0,2023-10-06,2024-09-04,1,9360.0
RIQ-00009,Basic,Edtech,Bengaluru,Organic Search,Monthly,1,530.0,6360.0,0.0,19.0,10,2700.0,2023-11-09,,0,0.0
RIQ-00010,Basic,Edtech,Hyderabad,Paid Search,Annual,1,620.0,7440.0,1.0,61.0,7,2800.0,2022-04-14,2022-05-11,1,7440.0
RIQ-00011,Enterprise,Edtech,Pune,Email Campaign,Annual,11,6850.0,82200.0,0.0,67.0,16,47300.0,2022-08-03,,0,0.0
RIQ-00012,Basic,Edtech,Delhi,Paid Search,Monthly,2,530.0,6360.0,2.0,78.0,6,2500.0,2023-10-13,,0,0.0
RIQ-00013,Enterprise,E-commerce,Bengaluru,Paid Search,Monthly,10,6900.0,82800.0,0.0,76.0,31,33000.0,2023-10-18,,0,0.0
RIQ-00014,Enterprise,E-commerce,Mumbai,Social Media,Annual,60,8840.0,106080.0,0.0,95.0,25,32600.0,2022-02-27,,0,0.0
RIQ-00015,Basic,Fintech,Hyderabad,Social Media,Monthly,1,630.0,7560.0,2.0,46.0,3,4800.0,2022-08-05,2022-09-18,1,7560.0
RIQ-00016,Basic,E-commerce,Hyderabad,Organic Search,Annual,10,830.0,9960.0,2.0,30.0,4,4700.0,2023-02-10,,0,0.0
RIQ-00017,Basic,Fintech,Pune,Social Media,Monthly,7,570.0,6840.0,1.0,19.0,10,2800.0,2023-07-29,2024-02-26,1,6840.0
RIQ-00018,Enterprise,Healthcare,Pune,Referral,Monthly,3,7000.0,84000.0,0.0,79.0,25,39700.0,2022-08-13,,0,0.0
RIQ-00019,Pro,E-commerce,Mumbai,Social Media,Monthly,19,2250.0,27000.0,1.0,44.0,17,7400.0,2022-04-23,,0,0.0
RIQ-00020,Pro,Healthcare,Hyderabad,Social Media,Annual,2,2100.0,25200.0,0.0,45.0,10,15000.0,2023-01-30,,0,0.0
RIQ-00021,Enterprise,Fintech,Pune,Social Media,Monthly,25,9850.0,118200.0,1.0,57.0,25,55400.0,2022-01-12,,0,0.0
RIQ-00022,Basic,Healthcare,Chennai,Direct,Annual,4,870.0,10440.0,0.0,42.0,8,3000.0,2023-10-19,,0,0.0
